Gene_ID	Pfam_ID	Identity	Align_Length	Mismatch	Gap	Q_start	Q_end	T_start	T_end	E_value	Score	Function
fake_2M_genome_000032	A0A094K913_9BACL/11-137	100	127	0	0	11	137	1	127	6.4e-71	272.3	A0A094K913_9BACL/11-137 A0A094K913.1 PF14434.5;Imm6;
fake_2M_genome_000033	A0A094JPY1_9BACL/12-131	99.2	120	1	0	12	131	1	120	2.8e-63	246.9	A0A094JPY1_9BACL/12-131 A0A094JPY1.1 PF14434.5;Imm6;
fake_2M_genome_000034	A0A094K990_9BACL/11-133	63.3	120	39	2	1	115	3	122	8.5e-35	152.1	A0A094K990_9BACL/11-133 A0A094K990.1 PF14434.5;Imm6;
fake_2M_genome_000035	A0A094K918_9BACL/33-145	56.9	102	42	2	2	103	14	113	2.6e-21	107.5	A0A094K918_9BACL/33-145 A0A094K918.1 PF14568.5;SUKH_6;
fake_2M_genome_000036	A0A094JMM6_9BACL/11-135	100	125	0	0	11	135	1	125	3.6e-66	256.5	A0A094JMM6_9BACL/11-135 A0A094JMM6.1 PF14434.5;Imm6;
fake_2M_genome_000037	A0A094K918_9BACL/33-145	100	113	0	0	33	145	1	113	2e-61	240.7	A0A094K918_9BACL/33-145 A0A094K918.1 PF14568.5;SUKH_6;
fake_2M_genome_000038	A0A094JPY8_9BACL/11-137	100	127	0	0	11	137	1	127	3.8e-71	273.1	A0A094JPY8_9BACL/11-137 A0A094JPY8.1 PF14434.5;Imm6;
fake_2M_genome_000039	Q9KE44_BACHD/4-175	37	135	81	2	3	136	41	172	1.3e-15	88.2	Q9KE44_BACHD/4-175 Q9KE44.1 PF13671.5;AAA_33;
fake_2M_genome_000041	A0A094JMN2_9BACL/1-143	100	143	0	0	1	143	1	143	2.5e-80	303.5	A0A094JMN2_9BACL/1-143 A0A094JMN2.1 PF12850.6;Metallophos_2;
fake_2M_genome_000042	A0A094K924_9BACL/10-199	100	190	0	0	10	199	1	190	6.2e-105	385.6	A0A094K924_9BACL/10-199 A0A094K924.1 PF01725.15;Ham1p_like;
fake_2M_genome_000043	A0A094JPZ3_9BACL/10-143	100	134	0	0	10	143	1	134	5.7e-68	263.1	A0A094JPZ3_9BACL/10-143 A0A094JPZ3.1 PF01138.20;RNase_PH;
fake_2M_genome_000044	A0A094M107_9BACL/67-178	100	112	0	0	67	178	1	112	1.2e-57	229.2	A0A094M107_9BACL/67-178 A0A094M107.1 PF10646.8;Germane;
fake_2M_genome_000045	A0A094JT59_9BACL/10-220	100	211	0	0	10	220	1	211	8.1e-113	412.1	A0A094JT59_9BACL/10-220 A0A094JT59.1 PF01177.21;Asp_Glu_race;
fake_2M_genome_000046	A0A094JMN7_9BACL/39-97	100	59	0	0	39	97	1	59	8.6e-24	115.5	A0A094JMN7_9BACL/39-97 A0A094JMN7.1 PF01047.21;MarR;
fake_2M_genome_000047	A0A094K928_9BACL/69-255	100	187	0	0	69	255	1	187	5.3e-107	392.9	A0A094K928_9BACL/69-255 A0A094K928.1 PF01564.16;Spermine_synth;
fake_2M_genome_000049	A0A094M111_9BACL/36-94	100	59	0	0	36	94	1	59	2.1e-25	120.9	A0A094M111_9BACL/36-94 A0A094M111.1 PF01047.21;MarR;
fake_2M_genome_000050	A0A094JT63_9BACL/131-341	100	211	0	0	131	341	1	211	1.5e-116	424.9	A0A094JT63_9BACL/131-341 A0A094JT63.1 PF01070.17;FMN_dh;
fake_2M_genome_000051	A0A094JMP3_9BACL/4-206	99	203	2	0	4	206	1	203	1.2e-98	365.2	A0A094JMP3_9BACL/4-206 A0A094JMP3.1 PF02588.14;YitT_membrane;
fake_2M_genome_000052	A0A094K934_9BACL/370-561	97.9	192	4	0	370	561	1	192	7.5e-108	396.7	A0A094K934_9BACL/370-561 A0A094K934.1 PF13311.5;DUF4080;
fake_2M_genome_000053	A0A120HS02_9BACL/142-260	94.6	92	5	0	1	92	27	118	4.1e-40	169.1	A0A120HS02_9BACL/142-260 A0A120HS02.1 PF01385.18;OrfB_IS605;
fake_2M_genome_000055	A0A094JQ06_9BACL/11-127	100	117	0	0	11	127	1	117	3e-63	246.5	A0A094JQ06_9BACL/11-127 A0A094JQ06.1 PF13673.6;Acetyltransf_10;
fake_2M_genome_000056	D3Q2F7_STANL/3-180	37.6	178	109	1	3	180	1	176	4.3e-31	141	D3Q2F7_STANL/3-180 D3Q2F7.1 PF01135.18;PCMT;
fake_2M_genome_000059	A0A094K938_9BACL/3-150	100	148	0	0	3	150	1	148	9.6e-82	308.1	A0A094K938_9BACL/3-150 A0A094K938.1 PF03737.14;RraA-like;
fake_2M_genome_000060	A0A094JQ12_9BACL/53-192	100	140	0	0	53	192	1	140	5.7e-76	289.3	A0A094JQ12_9BACL/53-192 A0A094JQ12.1 PF00080.19;Sod_Cu;
fake_2M_genome_000061	A0A094M119_9BACL/1-305	100	305	0	0	1	305	1	305	7.3e-172	608.6	A0A094M119_9BACL/1-305 A0A094M119.1 PF00296.19;Bac_luciferase;
fake_2M_genome_000062	A0A094JT72_9BACL/7-255	100	249	0	0	7	255	1	249	1.7e-131	474.2	A0A094JT72_9BACL/7-255 A0A094JT72.1 PF02110.14;HK;
fake_2M_genome_000063	A0A094JMQ4_9BACL/41-146	100	102	0	0	41	142	1	102	1.7e-51	208	A0A094JMQ4_9BACL/41-146 A0A094JMQ4.1 PF08241.11;Methyltransf_11;
fake_2M_genome_000065	A0A094JQ17_9BACL/7-219	99.5	213	1	0	7	219	1	213	3.9e-122	443	A0A094JQ17_9BACL/7-219 A0A094JQ17.1 PF00491.20;Arginase;
fake_2M_genome_000066	A0A094M124_9BACL/136-302	99.4	167	1	0	150	316	1	167	5.1e-86	323.9	A0A094M124_9BACL/136-302 A0A094M124.1 PF00158.25;Sigma54_activat;
fake_2M_genome_000067	A0A094JT76_9BACL/17-398	100	382	0	0	17	398	1	382	6.5e-228	795	A0A094JT76_9BACL/17-398 A0A094JT76.1 PF00202.20;Aminotran_3;
fake_2M_genome_000068	A0A094JMQ9_9BACL/233-402	99.4	170	1	0	233	402	1	170	3.7e-88	331.3	A0A094JMQ9_9BACL/233-402 A0A094JMQ9.1 PF00158.25;Sigma54_activat;
fake_2M_genome_000069	A0A094K949_9BACL/229-378	100	150	0	0	232	381	1	150	8.3e-79	299.7	A0A094K949_9BACL/229-378 A0A094K949.1 PF00441.23;Acyl-CoA_dh_1;
fake_2M_genome_000070	A0A094JQ24_9BACL/229-376	99.3	149	0	1	229	377	1	148	6.6e-79	300.1	A0A094JQ24_9BACL/229-376 A0A094JQ24.1 PF00441.23;Acyl-CoA_dh_1;
fake_2M_genome_000071	A0A094M129_9BACL/20-432	99.5	413	2	0	29	441	1	413	1.6e-240	837.4	A0A094M129_9BACL/20-432 A0A094M129.1 PF00501.27;AMP-binding;
fake_2M_genome_000072	D9WQG6_9ACTN/64-143	48.1	77	38	1	72	146	4	80	1.9e-13	81.3	D9WQG6_9ACTN/64-143 D9WQG6.1 PF03061.21;4HBT;
fake_2M_genome_000073	A0A094JT81_9BACL/8-250	98.8	243	3	0	8	250	1	243	7.9e-131	471.9	A0A094JT81_9BACL/8-250 A0A094JT81.1 PF13561.5;adh_short_C2;
fake_2M_genome_000074	A0A094JMR3_9BACL/5-122	99.2	118	1	0	3	120	1	118	4.2e-65	252.7	A0A094JMR3_9BACL/5-122 A0A094JMR3.1 PF01575.18;MaoC_dehydratas;
fake_2M_genome_000075	A0A094K956_9BACL/8-137	99.2	130	1	0	8	137	1	130	5.5e-71	272.3	A0A094K956_9BACL/8-137 A0A094K956.1 PF13452.5;MaoC_dehydrat_N;
fake_2M_genome_000076	A0A094JQ29_9BACL/239-388	98.7	150	2	0	240	389	1	150	2.2e-79	301.6	A0A094JQ29_9BACL/239-388 A0A094JQ29.1 PF00441.23;Acyl-CoA_dh_1;
fake_2M_genome_000077	A0A094M136_9BACL/12-245	99.1	234	2	0	51	284	1	234	4.5e-122	443	A0A094M136_9BACL/12-245 A0A094M136.1 PF13561.5;adh_short_C2;
fake_2M_genome_000078	A0A094JT87_9BACL/12-135	99.2	124	1	0	12	135	1	124	4.3e-65	252.7	A0A094JT87_9BACL/12-135 A0A094JT87.1 PF11155.7;DUF2935;
fake_2M_genome_000079	A0A094JMR8_9BACL/12-130	99.2	119	1	0	12	130	1	119	4.6e-66	256.1	A0A094JMR8_9BACL/12-130 A0A094JMR8.1 PF14434.5;Imm6;
fake_2M_genome_000081	A0A094JQ35_9BACL/13-394	100	382	0	0	24	405	1	382	9.4e-214	748	A0A094JQ35_9BACL/13-394 A0A094JQ35.1 PF07690.15;MFS_1;
fake_2M_genome_000083	A0A094JT93_9BACL/4-172	98.8	169	2	0	4	172	1	169	1.7e-95	354	A0A094JT93_9BACL/4-172 A0A094JT93.1 PF14435.5;SUKH-4;
fake_2M_genome_000084	A0A094JMS2_9BACL/389-487	100	99	0	0	389	487	1	99	1.6e-50	206.1	A0A094JMS2_9BACL/389-487 A0A094JMS2.1 PF14440.5;XOO_2897-deam;
fake_2M_genome_000085	A0A094K965_9BACL/19-228	98.1	210	4	0	7	216	1	210	3.4e-116	423.3	A0A094K965_9BACL/19-228 A0A094K965.1 PF01144.22;CoA_trans;
fake_2M_genome_000086	A0A094JQ40_9BACL/6-228	98.2	223	4	0	6	228	1	223	1.9e-118	431	A0A094JQ40_9BACL/6-228 A0A094JQ40.1 PF01144.22;CoA_trans;
fake_2M_genome_000087	A0A0D1XAA9_ANEMI/29-205	53.7	175	81	0	27	201	1	175	3.1e-46	190.7	A0A0D1XAA9_ANEMI/29-205 A0A0D1XAA9.1 PF13489.5;Methyltransf_23;
fake_2M_genome_000088	A0A094JT99_9BACL/13-77	100	65	0	0	13	77	1	65	3.1e-26	123.6	A0A094JT99_9BACL/13-77 A0A094JT99.1 PF03994.13;DUF350;
fake_2M_genome_000089	A0A094JMS7_9BACL/4-143	100	140	0	0	4	143	1	140	2.5e-79	300.1	A0A094JMS7_9BACL/4-143 A0A094JMS7.1 PF08719.10;DUF1768;
fake_2M_genome_000090	A0A094JQ45_9BACL/12-181	98.8	170	2	0	12	181	1	170	1.3e-93	347.8	A0A094JQ45_9BACL/12-181 A0A094JQ45.1 PF01327.20;Pep_deformylase;
fake_2M_genome_000091	D7CXH2_TRURR/54-252	50	156	70	3	228	381	50	199	1.9e-38	165.6	D7CXH2_TRURR/54-252 D7CXH2.1 PF03787.14;RAMPs;
fake_2M_genome_000096	A0A094JQ52_9BACL/7-152	92.5	146	11	0	6	151	1	146	9e-71	271.9	A0A094JQ52_9BACL/7-152 A0A094JQ52.1 PF13302.6;Acetyltransf_3;
fake_2M_genome_000097	A0A094M158_9BACL/5-172	94	168	10	0	3	170	1	168	1.2e-88	331.3	A0A094M158_9BACL/5-172 A0A094M158.1 PF01885.15;PTS_2-RNA;
fake_2M_genome_000098	M8DLB9_9BACL/326-377	84	50	8	0	192	241	1	50	3.3e-18	97.8	M8DLB9_9BACL/326-377 M8DLB9.1 PF01844.22;HNH;
fake_2M_genome_000099	A0A0M2PHN1_9BACI/118-244	70.9	127	37	0	118	244	1	127	2e-44	184.9	A0A0M2PHN1_9BACI/118-244 A0A0M2PHN1.1 PF01614.17;IclR;
fake_2M_genome_000100	A0A0M4GMK7_9BACI/1-300	62.3	300	113	0	1	300	1	300	1.3e-101	375.2	A0A0M4GMK7_9BACI/1-300 A0A0M4GMK7.1 PF00294.23;PfkB;
fake_2M_genome_000101	A0A0M2PAT6_9BACI/3-198	69.3	192	59	0	7	198	5	196	7.1e-72	275.8	A0A0M2PAT6_9BACI/3-198 A0A0M2PAT6.1 PF01081.18;Aldolase;
fake_2M_genome_000102	A0A0A6VAR3_9BACI/127-356	85.2	229	34	0	127	355	1	229	1.8e-110	404.8	A0A0A6VAR3_9BACI/127-356 A0A0A6VAR3.1 PF13378.5;MR_MLE_C;
fake_2M_genome_000103	A0A0V8JB65_9BACI/20-388	76.8	370	85	1	21	390	1	369	1.4e-167	594.7	A0A0V8JB65_9BACI/20-388 A0A0V8JB65.1 PF07690.15;MFS_1;
fake_2M_genome_000104	A0A094JMT8_9BACL/17-324	100	308	0	0	17	324	1	308	1.7e-175	622.1	A0A094JMT8_9BACL/17-324 A0A094JMT8.1 PF01326.18;PPDK_N;
fake_2M_genome_000105	A0A094K990_9BACL/11-133	98.4	123	2	0	11	133	1	123	3.6e-66	256.5	A0A094K990_9BACL/11-133 A0A094K990.1 PF14434.5;Imm6;
fake_2M_genome_000106	F5SKN5_9BACL/33-150	36	125	70	5	16	139	3	118	1.8e-08	64.7	F5SKN5_9BACL/33-150 F5SKN5.1 PF14430.5;Imm1;
fake_2M_genome_000108	A0A094JTC3_9BACL/12-137	100	126	0	0	12	137	1	126	3.5e-69	266.5	A0A094JTC3_9BACL/12-137 A0A094JTC3.1 PF14434.5;Imm6;
fake_2M_genome_000109	A0A094JMU2_9BACL/65-187	100	123	0	0	65	187	1	123	8e-66	255.8	A0A094JMU2_9BACL/65-187 A0A094JMU2.1 PF14434.5;Imm6;
fake_2M_genome_000112	A0A094M176_9BACL/1-115	100	72	0	0	1	72	24	95	1.9e-38	163.7	A0A094M176_9BACL/1-115 A0A094M176.1 PF14434.5;Imm6;
fake_2M_genome_000113	A0A094JTC8_9BACL/14-139	97.6	126	3	0	14	139	1	126	1.7e-66	257.7	A0A094JTC8_9BACL/14-139 A0A094JTC8.1 PF14434.5;Imm6;
fake_2M_genome_000115	A0A094M182_9BACL/11-134	99.2	124	1	0	11	134	1	124	8.5e-68	261.9	A0A094M182_9BACL/11-134 A0A094M182.1 PF14434.5;Imm6;
fake_2M_genome_000117	A0A094M176_9BACL/1-115	56	116	50	1	17	132	1	115	3.5e-29	133.7	A0A094M176_9BACL/1-115 A0A094M176.1 PF14434.5;Imm6;
fake_2M_genome_000118	A0A094JQ80_9BACL/12-116	92.9	98	7	0	12	109	1	98	9.9e-48	195.3	A0A094JQ80_9BACL/12-116 A0A094JQ80.1 PF14434.5;Imm6;
fake_2M_genome_000119	A0A094M188_9BACL/4-237	99.6	234	1	0	4	237	1	234	6.7e-129	466.5	A0A094M188_9BACL/4-237 A0A094M188.1 PF01656.22;CbiA;
fake_2M_genome_000120	A0A094JTD7_9BACL/15-260	100	246	0	0	18	263	1	246	5.3e-140	503.4	A0A094JTD7_9BACL/15-260 A0A094JTD7.1 PF00370.20;FGGY_N;
fake_2M_genome_000121	A0A094JMW4_9BACL/12-453	98.4	442	7	0	12	453	1	442	3.1e-237	826.2	A0A094JMW4_9BACL/12-453 A0A094JMW4.1 PF00083.23;Sugar_tr;
fake_2M_genome_000122	A0A094K9B1_9BACL/4-357	100	354	0	0	4	357	1	354	3.4e-207	726.5	A0A094K9B1_9BACL/4-357 A0A094K9B1.1 PF02610.14;Arabinose_Isome;
fake_2M_genome_000123	A0A094JQ86_9BACL/7-197	100	191	0	0	7	197	1	191	6e-109	399.1	A0A094JQ86_9BACL/7-197 A0A094JQ86.1 PF00596.20;Aldolase_II;
fake_2M_genome_000124	A0A094M196_9BACL/195-357	100	163	0	0	195	357	1	163	1.3e-89	335.5	A0A094M196_9BACL/195-357 A0A094M196.1 PF13377.5;Peripla_BP_3;
fake_2M_genome_000125	A0A094JTE3_9BACL/254-447	99	193	2	0	255	447	2	194	5.1e-107	393.7	A0A094JTE3_9BACL/254-447 A0A094JTE3.1 PF07685.13;GATase_3;
fake_2M_genome_000126	A0A094JMX0_9BACL/92-272	99.4	181	1	0	92	272	1	181	8.1e-100	369.8	A0A094JMX0_9BACL/92-272 A0A094JMX0.1 PF00587.24;tRNA-synt_2b;
fake_2M_genome_000128	V6J056_9BACL/1-199	71.6	197	56	0	1	197	1	197	6.4e-80	302.8	V6J056_9BACL/1-199 V6J056.1 PF12850.6;Metallophos_2;
fake_2M_genome_000129	F5SIJ6_9BACL/22-421	35	103	67	0	3	105	293	395	7.9e-09	65.5	F5SIJ6_9BACL/22-421 F5SIJ6.1 PF05977.12;MFS_3;
fake_2M_genome_000130	A0A0D1VEF0_ANEMI/21-215	70.3	195	58	0	17	211	1	195	1.7e-76	291.2	A0A0D1VEF0_ANEMI/21-215 A0A0D1VEF0.1 PF04493.13;Endonuclease_5;
fake_2M_genome_000131	A0A094JQ92_9BACL/141-309	99.4	169	1	0	155	323	1	169	1.4e-88	332.4	A0A094JQ92_9BACL/141-309 A0A094JQ92.1 PF00158.25;Sigma54_activat;
fake_2M_genome_000132	A0A094M1A1_9BACL/44-226	100	183	0	0	44	226	1	183	6.9e-107	392.5	A0A094M1A1_9BACL/44-226 A0A094M1A1.1 PF00753.26;Lactamase_B;
fake_2M_genome_000133	T0BWK9_ALIAG/35-162	81.9	127	23	0	36	162	2	128	6e-58	230.3	T0BWK9_ALIAG/35-162 T0BWK9.1 PF08240.11;ADH_N;
fake_2M_genome_000134	A0A0P9CHE2_9BACL/12-476	74.6	465	114	1	16	476	1	465	2.6e-199	700.3	A0A0P9CHE2_9BACL/12-476 A0A0P9CHE2.1 PF00171.21;Aldedh;
fake_2M_genome_000135	A0A172TG83_9BACL/11-66	94.6	56	3	0	1	56	1	56	4.3e-20	102.1	A0A172TG83_9BACL/11-66 A0A172TG83.1 PF00196.18;GerE;
fake_2M_genome_000136	A0A094JMX7_9BACL/145-380	100	236	0	0	145	380	1	236	1.3e-127	461.8	A0A094JMX7_9BACL/145-380 A0A094JMX7.1 PF00557.23;Peptidase_M24;
fake_2M_genome_000137	A0A094K9C5_9BACL/45-486	100	442	0	0	47	488	1	442	3.5e-261	906	A0A094K9C5_9BACL/45-486 A0A094K9C5.1 PF01663.21;Phosphodiest;
fake_2M_genome_000139	A0A094M1A8_9BACL/15-105	100	91	0	0	15	105	1	91	2e-43	180.3	A0A094M1A8_9BACL/15-105 A0A094M1A8.1 PF01638.16;HxlR;
fake_2M_genome_000141	A0A094JMY6_9BACL/5-283	100	279	0	0	34	312	1	279	4.3e-158	563.5	A0A094JMY6_9BACL/5-283 A0A094JMY6.1 PF05681.13;Fumerase;
fake_2M_genome_000142	A0A094K9C9_9BACL/39-261	100	223	0	0	39	261	1	223	6.7e-116	422.5	A0A094K9C9_9BACL/39-261 A0A094K9C9.1 PF06207.10;DUF1002;
fake_2M_genome_000143	A0A094JQA3_9BACL/8-118	100	111	0	0	8	118	1	111	4e-58	230.3	A0A094JQA3_9BACL/8-118 A0A094JQA3.1 PF13085.5;Fer2_3;
fake_2M_genome_000144	A0A094M1B3_9BACL/4-391	100	388	0	0	4	391	1	388	4.9e-232	809.3	A0A094M1B3_9BACL/4-391 A0A094M1B3.1 PF00890.23;FAD_binding_2;
fake_2M_genome_000145	A0A094JTG2_9BACL/80-197	100	118	0	0	80	197	1	118	7.5e-61	239.2	A0A094JTG2_9BACL/80-197 A0A094JTG2.1 PF01127.21;Sdh_cyt;
fake_2M_genome_000146	A0A094JMZ2_9BACL/42-340	100	299	0	0	42	340	1	299	8.8e-176	621.7	A0A094JMZ2_9BACL/42-340 A0A094JMZ2.1 PF00561.19;Abhydrolase_1;
fake_2M_genome_000147	F5SAC1_9BACL/29-189	67.7	161	52	0	24	184	1	161	2.1e-57	228.4	F5SAC1_9BACL/29-189 F5SAC1.1 PF00005.26;ABC_tran;
fake_2M_genome_000148	A0A094K9D2_9BACL/132-320	100	189	0	0	119	307	1	189	1.9e-94	351.3	A0A094K9D2_9BACL/132-320 A0A094K9D2.1 PF00528.21;BPD_transp_1;
fake_2M_genome_000149	A0A094JQA9_9BACL/112-304	99.5	193	1	0	124	316	1	193	4.3e-97	360.1	A0A094JQA9_9BACL/112-304 A0A094JQA9.1 PF00528.21;BPD_transp_1;
fake_2M_genome_000150	A0A094M1D2_9BACL/2-230	100	229	0	0	2	230	1	229	3.5e-123	447.2	A0A094M1D2_9BACL/2-230 A0A094M1D2.1 PF00696.27;AA_kinase;
fake_2M_genome_000151	A0A0M1NM24_9BACI/5-59	58.5	53	22	0	4	56	1	53	1.8e-09	66.6	A0A0M1NM24_9BACI/5-59 A0A0M1NM24.1 PF02416.15;MttA_Hcf106;
fake_2M_genome_000152	A0A0N0YDE8_THEVU/11-480	53	472	214	5	11	476	1	470	2.3e-140	504.6	A0A0N0YDE8_THEVU/11-480 A0A0N0YDE8.1 PF01593.23;Amino_oxidase;
fake_2M_genome_000153	A0A094JTI8_9BACL/30-161	97	132	4	0	30	161	1	132	2.5e-71	274.2	A0A094JTI8_9BACL/30-161 A0A094JTI8.1 PF01553.20;Acyltransferase;
fake_2M_genome_000154	A0A094JN22_9BACL/14-90	100	77	0	0	14	90	1	77	7.1e-35	152.5	A0A094JN22_9BACL/14-90 A0A094JN22.1 PF07261.10;DnaB_2;
fake_2M_genome_000155	A0A094K9E9_9BACL/368-521	99.4	154	1	0	368	521	1	154	2.1e-81	308.9	A0A094K9E9_9BACL/368-521 A0A094K9E9.1 PF08459.10;UvrC_HhH_N;
fake_2M_genome_000157	A0A094M1E6_9BACL/2-106	99	105	1	0	2	106	1	105	1.5e-54	217.2	A0A094M1E6_9BACL/2-106 A0A094M1E6.1 PF00085.19;Thioredoxin;
fake_2M_genome_000158	A0A094JTK4_9BACL/5-181	100	177	0	0	5	181	1	177	1.9e-95	354.8	A0A094JTK4_9BACL/5-181 A0A094JTK4.1 PF01012.20;ETF;
fake_2M_genome_000159	A0A094JN35_9BACL/21-209	100	189	0	0	21	209	1	189	3.7e-99	366.7	A0A094JN35_9BACL/21-209 A0A094JN35.1 PF01012.20;ETF;
fake_2M_genome_000160	A0A094K9F9_9BACL/59-191	100	133	0	0	59	191	1	133	1.1e-68	265	A0A094K9F9_9BACL/59-191 A0A094K9F9.1 PF08359.10;TetR_C_4;
fake_2M_genome_000161	A0A094JQD3_9BACL/31-462	100	432	0	0	31	462	1	432	1.5e-257	894	A0A094JQD3_9BACL/31-462 A0A094JQD3.1 PF00501.27;AMP-binding;
fake_2M_genome_000162	A0A094M1F0_9BACL/23-483	100	461	0	0	23	483	1	461	6.2e-260	901.7	A0A094M1F0_9BACL/23-483 A0A094M1F0.1 PF03323.12;GerA;
fake_2M_genome_000163	A0A0N0YF39_THEVU/113-191	59.7	77	30	1	116	191	1	77	2.2e-14	85.9	A0A0N0YF39_THEVU/113-191 A0A0N0YF39.1 PF13424.5;TPR_12;
fake_2M_genome_000164	A0A0N0YCU1_THEVU/96-302	58	207	87	0	96	302	1	207	2.2e-65	255.4	A0A0N0YCU1_THEVU/96-302 A0A0N0YCU1.1 PF01189.16;Methyltr_RsmB-F;
